filename	date	artist	title	score	likes	dislikes	views	duration
20120925_The Gaslamp Killer- Breakthrough ALBUM REVIEW.jpg	20120925	The Gaslamp Killer	Breakthrough	8/10	415	10	30595	506
20120926_Lupe Fiasco- Food & Liquor 2 - The Great American Rap Album Pt. 1 ALBUM REVIEW.jpg	20120926	Lupe Fiasco- Food & Liquor 2 	The Great American Rap Album Pt. 1	5/10	1049	360	94638	659
20120927_Dark Time Sunshine- ANX ALBUM REVIEW.jpg	20120927	Dark Time Sunshine	ANX	7/10	218	9	16459	560
20120929_Flying Lotus- Until the Quiet Comes ALBUM REVIEW.jpg	20120929	Flying Lotus	Until the Quiet Comes	7/10	1100	53	113229	598
20121001_Deerhoof- Breakup Song ALBUM REVIEW.jpg	20121001	Deerhoof	Breakup Song	LOVELY & KEWT/10	1783	35	139318	535
20121002_Efterklang- Piramida ALBUM REVIEW.jpg	20121002	Efterklang	Piramida	5/10	147	11	14766	387
20121002_Mumford & Sons- Babel ALBUM REVIEW.jpg	20121002	Mumford & Sons	Babel	6/10	885	122	95210	395
20121004_Muse- The 2nd Law ALBUM REVIEW.jpg	20121004	Muse	The 2nd Law	3/10	2105	490	194686	519
20121005_Alt-J- An Awesome Wave ALBUM REVIEW.jpg	20121005	Alt-J	An Awesome Wave	8/10	2206	59	161064	423
20121008_Death Grips- NO LOVE DEEP WEB ALBUM REVIEW.jpg	20121008	Death Grips	NO LOVE DEEP WEB	8/10	7501	198	555429	812
20121009_METZ- Self-Titled ALBUM REVIEW.jpg	20121009	METZ- Self	Titled	6/10	260	26	25803	334
20121009_Mellowhype- Numbers ALBUM REVIEW.jpg	20121009	Mellowhype	Numbers	3/10	859	310	84519	558
20121010_Tame Impala- Lonerism ALBUM REVIEW.jpg	20121010	Tame Impala	Lonerism	8/10	3782	145	303203	395
20121010_The Mountain Goats- Transcendental Youth ALBUM REVIEW.jpg	20121010	The Mountain Goats	Transcendental Youth	7/10	379	13	31989	435
20121011_Macklemore and Ryan Lewis- The Heist ALBUM REVIEW.jpg	20121011	Macklemore and Ryan Lewis	The Heist	7/10	2313	362	232528	487
20121012_Godspeed You! Black Emperor- 'Allelujah! Don't Bend! Ascend! ALBUM REVIEW.jpg	20121012	Godspeed You! Black Emperor	'Allelujah! Don't Bend! Ascend!	8/10	1757	32	131718	716
20121015_Converge- All We Love We Leave Behind ALBUM REVIEW.jpg	20121015	Converge	All We Love We Leave Behind	8/10	1252	35	101168	504
20121016_John Frusciante- PBX Funicular Intaglio Zone ALBUM REVIEW.jpg	20121016	John Frusciante	PBX Funicular Intaglio Zone	2/10	804	526	89962	477
20121019_Between the Buried and Me- The Parallax II - Future Sequence ALBUM REVIEW.jpg	20121019	Between the Buried and Me- The Parallax II 	Future Sequence	4/10	599	936	59239	475
20121019_Daphni- Jiaolong ALBUM REVIEW.jpg	20121019	Daphni	Jiaolong	6/10	160	10	18159	362
20121020_Blu & Exile- Give Me My Flowers While I Can Still Smell Them ALBUM REVIEW.jpg	20121020	Blu & Exile	Give Me My Flowers While I Can Still Smell Them	7/10	507	29	52620	384
20121022_Kendrick Lamar- good kid, m.A.A.d. city ALBUM REVIEW.jpg	20121022	Kendrick Lamar	good kid, m.A.A.d. city	9/10	20962	460	1372691	698
20121023_Karriem Riggins- Alone Together ALBUM REVIEW.jpg	20121023	Karriem Riggins	Alone Together	8/10	396	4	31412	483
20121024_3_33- In the Middle of Infinity ALBUM REVIEW.jpg	20121024	3_33	In the Middle of Infinity	6/10	124	2	11295	384
20121024_Pig Destroyer- Book Burner ALBUM REVIEW.jpg	20121024	Pig Destroyer	Book Burner	6/10	464	51	41391	378
20121026_Chelsea Wolfe- Unknown Rooms - A Collection of Acoustic Songs ALBUM REVIEW.jpg	20121026	Chelsea Wolfe- Unknown Rooms 	A Collection of Acoustic Songs	7/10	279	9	25546	418
20121029_Andy Stott- Luxury Problems ALBUM REVIEW.jpg	20121029	Andy Stott	Luxury Problems	7/10	268	17	28802	440
20121030_Mac DeMarco- 2 ALBUM REVIEW.jpg	20121030	Mac DeMarco	2	6/10	1190	1113	139486	369
20121031_The Bad Plus- Made Possible ALBUM REVIEW.jpg	20121031	The Bad Plus	Made Possible	8/10	323	16	20508	458
20121101_Black Moth Super Rainbow- Cobra Juicy ALBUM REVIEW.jpg	20121101	Black Moth Super Rainbow	Cobra Juicy	5/10	312	147	32140	405
20121101_The Soft Moon- Zeros ALBUM REVIEW.jpg	20121101	The Soft Moon	Zeros	4/10	187	70	16325	307
20121102_Pile- Dripping ALBUM REVIEW.jpg	20121102	Pile	Dripping	8/10	391	10	36541	442
20121105_Neurosis- Honor Found In Decay ALBUM REVIEW.jpg	20121105	Neurosis	Honor Found In Decay	7/10	324	17	27662	381
20121107_Titus Andronicus- Local Business ALBUM REVIEW.jpg	20121107	Titus Andronicus	Local Business	6/10	205	14	23731	397
20121108_Bat For Lashes- The Haunted Man ALBUM REVIEW.jpg	20121108	Bat For Lashes	The Haunted Man	7/10	329	7	28138	421
20121108_The Secret- Agnus Dei ALBUM REVIEW.jpg	20121108	The Secret	Agnus Dei	5/10	134	16	12679	325
20121112_Brian Eno- LUX ALBUM REVIEW.jpg	20121112	Brian Eno	LUX	6/10	524	15	38875	424
20121113_Crystal Castles- (III) ALBUM REVIEW.jpg	20121113	Crystal Castles	(III)	4/10	1105	590	109036	489
20121114_Jessica Pratt- Self-Titled ALBUM REVIEW.jpg	20121114	Jessica Pratt- Self	Titled	7/10	208	7	16715	419
20121115_Deftones- Koi No Yokan ALBUM REVIEW.jpg	20121115	Deftones	Koi No Yokan	6/10	1649	610	147246	565
20121116_Action Bronson and the Alchemist- Rare Chandeliers ALBUM REVIEW.jpg	20121116	Action Bronson and the Alchemist	Rare Chandeliers	8/10	1374	43	109920	508
20121116_Vessel- Order of Noise ALBUM REVIEW.jpg	20121116	Vessel	Order of Noise	7/10	189	6	15662	343
20121119_Goat- World Music ALBUM REVIEW.jpg	20121119	Goat	World Music	5/10	231	119	22961	359
20121120_Holly Herndon- Movement ALBUM REVIEW.jpg	20121120	Holly Herndon	Movement	7/10	164	10	16487	386
20121121_Captain Murphy- Duality ALBUM REVIEW.jpg	20121121	Captain Murphy	Duality	7/10	2776	112	220893	645
20121122_The Evens- The Odds ALBUM REVIEW.jpg	20121122	The Evens	The Odds	8/10	352	10	27850	462
20121125_Tim Hecker and Daniel Lopatin- Instrumental Tourist ALBUM REVIEW.jpg	20121125	Tim Hecker and Daniel Lopatin	Instrumental Tourist	5/10	177	40	21933	427
20121126_Bad Brains- Into the Future ALBUM REVIEW.jpg	20121126	Bad Brains	Into the Future	3/10	369	64	43171	449
20121127_Angel Olsen- Half Way Home ALBUM REVIEW.jpg	20121127	Angel Olsen	Half Way Home	7/10	318	13	28818	441
20121128_Macintosh Plus- Floral Shoppe ALBUM REVIEW.jpg	20121128	Macintosh Plus	Floral Shoppe	4/10	15470	2171	928327	502
20121129_Heems- Wild Water Kingdom ALBUM REVIEW.jpg	20121129	Heems	Wild Water Kingdom	5/10	259	15	28896	402
20121130_Code Orange Kids- Love Is Love _ Return To Dust ALBUM REVIEW.jpg	20121130	Code Orange Kids	Love Is Love _ Return To Dust	6/10	448	33	48297	390
20121201_Wu-Block- Self-Titled ALBUM REVIEW.jpg	20121201	Wu-Block- Self	Titled	6/10	409	23	35122	494
20121204_Scott Walker- Bish Bosch ALBUM REVIEW.jpg	20121204	Scott Walker	Bish Bosch	7/10	1412	81	112780	746
20121205_Dragged Into Sunlight- Widowmaker ALBUM REVIEW.jpg	20121205	Dragged Into Sunlight	Widowmaker	6/10	361	30	31574	425
